	up_utc	down_utc	crest_hours	up_discharge	down_discharge
0	1988-10-16 15:15:00	1988-10-16 21:00:00	5.75	39360.0	40400.0
1	1988-10-22 10:30:00	1988-10-22 14:00:00	3.5	3845.0	4280.0
2	1988-10-23 05:00:00	1988-10-23 14:45:00	9.75	2330.0	2680.0
3	1988-10-31 06:30:00	1988-10-31 11:00:00	4.5	2863.0	3070.0
4	1988-11-03 13:00:00	1988-11-04 12:15:00	23.25	5940.0	6390.0
5	1988-11-04 09:15:00	1988-11-04 12:15:00	3.0	5960.0	6390.0
6	1988-11-06 10:00:00	1988-11-06 13:15:00	3.25	14910.0	14900.0
7	1988-11-07 14:15:00	1988-11-07 19:00:00	4.75	4644.0	5310.0
8	1988-11-11 04:30:00	1988-11-11 07:45:00	3.25	3379.0	4070.0
9	1988-11-12 18:00:00	1988-11-12 20:00:00	2.0	3421.0	4120.0
10	1988-11-13 14:00:00	1988-11-13 21:00:00	7.0	2386.0	3000.0
11	1988-11-23 04:45:00	1988-11-23 07:00:00	2.25	6806.0	8010.0
12	1988-11-24 10:15:00	1988-11-25 07:30:00	21.25	2765.0	3070.0
13	1988-11-28 08:45:00	1988-11-28 11:15:00	2.5	3998.0	4670.0
14	1988-11-29 03:00:00	1988-11-29 12:00:00	9.0	2754.0	3370.0
15	1988-12-07 05:30:00	1988-12-07 09:00:00	3.5	12100.0	12300.0
16	1988-12-08 08:45:00	1988-12-08 21:15:00	12.5	4289.0	4450.0
17	1988-12-13 09:15:00	1988-12-13 12:45:00	3.5	13450.0	13200.0
18	1988-12-14 06:00:00	1988-12-14 18:30:00	12.5	5068.0	4970.0
19	1988-12-15 01:15:00	1988-12-15 20:00:00	18.75	3251.0	3440.0
20	1988-12-30 11:15:00	1988-12-30 15:30:00	4.25	10630.0	11100.0
21	1988-12-31 11:30:00	1988-12-31 22:45:00	11.25	3654.0	3940.0
22	1989-01-04 10:15:00	1989-01-04 14:00:00	3.75	10300.0	11100.0
23	1989-01-05 07:15:00	1989-01-05 14:45:00	7.5	4453.0	5130.0
24	1989-01-06 05:15:00	1989-01-06 15:15:00	10.0	2803.333333333333	3590.0
25	1989-01-09 19:00:00	1989-01-09 21:30:00	2.5	3344.0	4290.0
26	1989-01-17 11:15:00	1989-01-17 13:30:00	2.25	7029.0	8400.0
27	1989-01-18 19:15:00	1989-01-18 21:45:00	2.5	6002.0	7230.0
28	1989-01-19 17:30:00	1989-01-20 02:45:00	9.25	3504.0	4340.0
29	1989-01-21 07:00:00	1989-01-22 06:00:00	23.0	2706.0	3320.0
30	1989-01-31 07:30:00	1989-01-31 11:00:00	3.5	8150.0	8670.0
31	1989-02-01 04:15:00	1989-02-01 12:45:00	8.5	3443.0	4060.0
32	1989-03-12 04:15:00	1989-03-12 07:30:00	3.25	2792.0	3590.0
33	1989-03-13 07:30:00	1989-03-13 11:15:00	3.75	2775.0	3650.0
34	1989-04-06 01:45:00	1989-04-06 06:15:00	4.5	20800.0	22100.0
35	1989-04-07 08:45:00	1989-04-07 11:30:00	2.75	9530.0	11400.0
36	1989-04-08 03:45:00	1989-04-08 13:30:00	9.75	6340.0	6950.0
37	1989-04-09 00:00:00	1989-04-09 14:00:00	14.0	4282.0	4870.0
38	1989-04-15 07:45:00	1989-04-15 11:00:00	3.25	6330.0	7120.0
39	1989-04-16 02:00:00	1989-04-16 11:15:00	9.25	4965.0	5620.0
40	1989-04-21 05:15:00	1989-04-21 07:15:00	2.0	5459.0	6160.0
41	1989-04-21 23:30:00	1989-04-22 07:45:00	8.25	3823.0	4310.0
42	1989-05-01 10:15:00	1989-05-01 13:00:00	2.75	4005.0	4530.0
43	1989-05-07 07:30:00	1989-05-07 11:15:00	3.75	6400.0	6890.0
44	1989-05-08 08:00:00	1989-05-08 11:30:00	3.5	5860.0	6320.0
45	1989-05-09 07:45:00	1989-05-09 11:45:00	4.0	5196.5	5620.0
46	1989-05-10 02:30:00	1989-05-10 12:00:00	9.5	4092.0	4470.0
47	1989-05-11 12:45:00	1989-05-11 19:45:00	7.0	3031.0	3440.0
48	1989-05-18 08:00:00	1989-05-18 10:00:00	2.0	3593.0	4090.0
49	1989-05-19 10:45:00	1989-05-19 14:00:00	3.25	2698.0	3240.0
50	1989-05-25 09:30:00	1989-05-25 12:30:00	3.0	2638.0	3200.0
51	1989-05-27 17:15:00	1989-05-27 21:00:00	3.75	3121.0	3700.0
52	1989-06-04 07:45:00	1989-06-04 11:30:00	3.75	5256.0	5530.0
53	1989-06-06 06:45:00	1989-06-06 11:30:00	4.75	4942.0	5240.0
54	1989-06-15 08:30:00	1989-06-15 12:30:00	4.0	3110.0	3450.0
55	1989-06-20 08:00:00	1989-06-20 13:00:00	5.0	3165.0	3570.0
56	1989-06-25 09:00:00	1989-06-25 13:30:00	4.5	2399.0	2730.0
57	1989-07-17 08:00:00	1989-07-17 12:45:00	4.75	1895.0	2160.0
58	1989-08-22 10:00:00	1989-08-22 13:30:00	3.5	3257.858131487889	3380.0
59	1989-08-23 05:30:00	1989-08-23 15:45:00	10.25	1311.993079584775	1600.0
