utc	id	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2020-11-06 12:44:55	629851	42.01		SVPA-15B		
2021-01-04 01:45:01	749362	43.43		SVPA-15B		
2021-10-30 05:30:03	1198982	46.2		SVPA-15B		
2021-11-14 00:14:58	1225614	47.49		SVPA-15B		
2021-11-16 00:59:58	1229036	48.11		SVPA-15B		
2021-11-29 04:14:57	1251255	43.45		SVPA-15B		
2022-01-08 13:59:57	1312083	45.35		SVPA-15B		
2022-01-13 21:44:58	1320407	47.66		SVPA-15B		
2022-01-21 19:59:57	1332833	44.47		SVPA-15B		
2022-03-02 07:45:05	1394303	49.23		SVPA-15B		
