utc	id	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2019-10-22 18:55:09	48740	85.84		SVPA-33		
2019-11-05 10:45:05	67327	69.53		SVPA-33		
2019-11-12 04:30:08	74687	69.09		SVPA-33		
2019-11-16 05:30:00	81248	71.06		SVPA-33		
2019-11-18 07:05:02	84942	71.1		SVPA-33		
2019-11-22 05:05:08	92505	71.37		SVPA-33		
2019-11-24 07:39:59	95525	78.02		SVPA-33		
2019-11-29 22:35:09	105324	72.28		SVPA-33		
2019-12-05 12:00:10	118262	68.62		SVPA-33		
2019-12-12 03:45:07	132331	69.5		SVPA-33		
2019-12-14 15:15:10	138315	69.24		SVPA-33		
2019-12-21 07:57:51	149069	84.1		SVPA-33		
2020-01-01 22:14:53	165079	78.45		SVPA-33		
2020-01-24 17:32:16	199284	77.78		SVPA-33		
2020-02-02 01:15:10	211608	84.97		SVPA-33		
2020-02-07 20:30:07	220149	84.75		SVPA-33		
2020-02-16 07:15:00	232013	71.23		SVPA-33		
2020-03-04 15:45:08	260193	70.8		SVPA-33		
2020-03-06 14:30:11	263414	72.34		SVPA-33		
2020-04-02 22:45:00	301206	68.7		SVPA-33		
2020-04-12 12:45:11	315168	68.71		SVPA-33		
2020-04-15 09:30:05	319302	70.76		SVPA-33		
2020-04-21 19:00:06	328559	69.05		SVPA-33		
2020-04-23 20:30:10	331424	76.14		SVPA-33		
2020-10-11 10:45:03	592600	69.12		SVPA-33		
2020-10-12 20:45:04	594895	76.01		SVPA-33		
2020-10-14 01:45:05	596385	74.07		SVPA-33		
2020-10-31 07:30:03	619913	68.4		SVPA-33		
2020-11-04 21:00:09	626892	76.7		SVPA-33		
2020-11-14 02:15:03	643198	69.52		SVPA-33		
2020-11-16 10:45:07	647493	70.34		SVPA-33		
2020-11-18 13:30:10	651536	71.65		SVPA-33		
2020-11-25 22:59:59	679365	70.73		SVPA-33		
2020-12-09 17:15:02	706814	72.19		SVPA-33		
2020-12-18 05:00:00	720473	72.05		SVPA-33		
2020-12-20 17:30:04	724696	75.12		SVPA-33		
2020-12-22 11:30:07	727623	77.09		SVPA-33		
2021-01-01 04:07:54	744396	74.04		SVPA-33		
2021-01-03 14:47:36	748602	79.75		SVPA-33		
2021-02-05 21:30:06	799842	72.23		SVPA-33		
2021-02-07 11:40:23	802397	72.64		SVPA-33		
2021-02-23 06:15:10	827847	80.56		SVPA-33		
2021-03-19 15:30:02	866085	68.01		SVPA-33		
2021-03-25 14:00:04	875096	69.23		SVPA-33		
2021-04-08 18:30:09	895950	68.54		SVPA-33		
2021-04-19 13:44:59	913021	70.57		SVPA-33		
2021-05-01 14:45:05	931719	70.8		SVPA-33		
2021-05-07 17:00:06	941056	70.84		SVPA-33		
2021-05-14 13:45:09	961661	70.28		SVPA-33		
2021-05-16 13:30:09	965133	70.85		SVPA-33		
2021-05-25 13:14:57	979766	70.64		SVPA-33		
2021-05-28 17:59:57	984173	72.76		SVPA-33		
2021-06-03 11:59:58	991548	73.28		SVPA-33		
2021-06-14 19:00:00	1007065	71.05		SVPA-33		
2021-06-21 13:59:58	1016393	69.85		SVPA-33		
2021-06-26 13:44:59	1023249	69.75		SVPA-33		
2021-06-28 11:15:00	1025819	70.09		SVPA-33		
2021-09-19 14:15:27	1134202	67.87		SVPA-33		
2021-09-29 08:59:54	1148626	69.18		SVPA-33		
2021-10-01 07:44:53	1151689	71.05		SVPA-33		
2021-10-11 10:44:55	1167535	68.15		SVPA-33		
2021-10-15 17:59:55	1174605	68.73		SVPA-33		
2021-10-23 14:29:56	1188131	67.82		SVPA-33		
2021-10-27 15:14:56	1194557	74.06		SVPA-33		
2021-10-29 13:59:58	1197873	83.93		SVPA-33		
2021-11-05 10:45:11	1209636	72.89		SVPA-33		
2021-11-13 04:45:04	1224226	84.59		SVPA-33		
2021-11-15 04:00:11	1227575	84.01		SVPA-33		
2021-11-27 02:45:07	1247744	76.29		SVPA-33		
2021-11-28 15:15:12	1250343	80.57		SVPA-33		
2021-12-01 04:45:06	1254732	75.61		SVPA-33		
2021-12-09 01:20:05	1267493	71.82		SVPA-33		
2021-12-12 04:00:08	1272559	73.78		SVPA-33		
2021-12-19 08:15:12	1283512	72.94		SVPA-33		
2021-12-23 19:45:00	1289903	71.62		SVPA-33		
2022-01-08 04:00:06	1311440	80.69		SVPA-33		
2022-01-12 23:30:02	1318955	84.24		SVPA-33		
2022-01-19 03:00:03	1328532	71.66		SVPA-33		
2022-01-21 09:00:02	1332101	80.55		SVPA-33		
2022-01-31 16:30:08	1348349	69.13		SVPA-33		
2022-03-01 18:30:05	1393418	84.96		SVPA-33		
2022-03-16 06:30:00	1416500	71.94		SVPA-33		
2022-03-22 06:45:04	1426122	70.08		SVPA-33		
2022-03-24 13:30:06	1429795	71.66		SVPA-33		
2022-03-28 16:15:08	1436458	70.07		SVPA-33		
2022-04-04 22:00:08	1448294	71.53		SVPA-33		
2022-04-26 09:30:05	1482981	68.61		SVPA-33		
2022-05-03 10:45:10	1494485	69.64		SVPA-33		
2022-05-06 16:15:12	1499743	71.72		SVPA-33		
2022-05-17 02:00:02	1512901	73.13		SVPA-33		
2022-05-26 13:15:08	1526436	70.56		SVPA-33		
2022-05-28 00:00:08	1528392	72.57		SVPA-33		
2022-05-30 13:30:09	1531611	72.98		SVPA-33		
2022-06-04 08:29:59	1537678	73.36		SVPA-33		
2022-06-06 12:30:01	1540120	74.61		SVPA-33		
2022-06-10 15:15:01	1553524	79.19		SVPA-33		
