utc	discharge	discharge_qualifiers	location	stage	stage_qualifiers
2007-10-03 06:45:00	9660.0	A	12144500	10.08	A
2007-10-08 11:00:00	6720.0	A	12144500	8.71	A
2007-10-21 20:45:00	5010.0	A	12144500	7.77	A
2007-11-11 00:00:00	2540.0	A	12144500	6.02	A
2007-11-13 08:45:00	3740.0	A	12144500	6.96	A
2007-11-16 19:00:00	6780.0	A	12144500	8.74	A
2007-12-04 04:30:00	23100.0	A	12144500	14.31	A
2007-12-20 14:15:00	2910.0	A	12144500	6.33	A
2007-12-24 09:15:00	5580.0	A	12144500	8.09	A
2008-01-12 01:15:00	3790.0	A	12144500	6.99	A
2008-01-15 09:15:00	3730.0	A	12144500	6.95	A
2008-02-11 11:45:00	4740.0	A	12144500	7.61	A
2008-03-01 16:00:00	4250.0	A	12144500	7.3	A
2008-03-11 23:30:00	3610.0	A	12144500	6.86	A
2008-04-14 15:00:00	3490.0	A	12144500	6.78	A
2008-04-29 18:15:00	5360.0	A	12144500	7.97	A
2008-05-06 16:30:00	4420.0	A	12144500	7.41	A
2008-05-15 11:45:00	10400.0	A	12144500	10.37	A
2008-05-18 10:30:00	17100.0	A	12144500	12.68	A
2008-05-21 01:30:00	13000.0	A	12144500	11.37	A
2008-05-26 14:30:00	9230.0	A	12144500	9.9	A
2008-06-04 15:00:00	7740.0	A	12144500	9.22	A
2008-06-07 05:15:00	7990.0	A	12144500	9.34	A
2008-06-09 11:45:00	6400.0	A	12144500	8.54	A
2008-06-10 14:00:00	7590.0	A	12144500	9.15	A
2008-06-21 14:30:00	6180.0	A	12144500	8.42	A
2008-06-29 14:45:00	8010.0	A	12144500	9.35	A
2008-07-06 14:30:00	5140.0	A	12144500	7.85	A
2008-08-22 01:45:00	3360.0	A	12144500	6.68	A
2008-08-28 00:30:00	2880.0	A	12144500	6.3	A
2008-09-23 00:00:00	991.0	A	12144500	4.15	A
2008-09-26 19:30:00	1210.0	A	12144500	4.5	A
2008-10-05 14:00:00	1220.0	A	12144500	4.52	A
2008-10-08 01:45:00	1680.0	A	12144500	5.14	A
2008-10-14 18:45:00	2090.0	A	12144500	5.59	A
2008-11-04 00:45:00	1830.0	A	12144500	5.33	A
2008-11-07 23:00:00	28300.0	A	12144500	15.54	A
2008-11-13 04:15:00	47000.0	A	12144500	18.76	A
2008-11-30 03:15:00	5420.0	A	12144500	7.77	A
2008-12-03 04:45:00	4500.0	A	12144500	7.22	A
2008-12-08 04:30:00	4300.0	A	12144500	7.1	A
2008-12-28 10:15:00	5290.0	A	12144500	7.69	A
2009-01-08 06:00:00	60700.0	A	12144500	20.97	A
2009-02-26 07:30:00	2190.0	A	12144500	5.46	A
2009-03-21 11:45:00	2500.0	A	12144500	5.75	A
2009-03-25 16:00:00	3530.0	A	12144500	6.57	A
2009-04-01 03:15:00	2800.0	A	12144500	6.0	A
2009-04-03 07:15:00	3690.0	A	12144500	6.68	A
2009-04-08 19:00:00	3490.0	A	12144500	6.54	A
2009-04-13 10:45:00	8380.0	A	12144500	9.21	A
2009-04-22 10:45:00	6810.0	A	12144500	8.49	A
2009-05-03 17:45:00	3630.0	A	12144500	6.64	A
2009-05-06 08:45:00	4930.0	A	12144500	7.48	A
2009-05-07 14:15:00	6760.0	A	12144500	8.47	A
2009-05-12 18:15:00	7250.0	A	12144500	8.7	A
2009-05-14 23:15:00	8820.0	A	12144500	9.4	A
2009-05-18 11:15:00	7950.0	A	12144500	9.02	A
2009-05-25 11:45:00	6640.0	A	12144500	8.41	A
2009-05-26 11:30:00	6660.0	A	12144500	8.42	A
2009-05-30 09:45:00	8440.0	A	12144500	9.24	A
2009-06-20 15:45:00	4220.0	A	12144500	7.04	A
2009-09-08 04:00:00	3020.0	A	12144500	6.18	A
2009-10-03 05:30:00	1090.0	A	12144500	4.17	A
2009-10-15 15:00:00	1300.0	A	12144500	4.47	A
2009-10-17 14:15:00	1770.0	A	12144500	5.03	A
2009-10-18 20:30:00	3540.0	A	12144500	6.58	A
2009-10-24 02:00:00	11400.0	A	12144500	10.38	A
2009-10-26 22:15:00	19500.0	A	12144500	12.86	A
2009-10-31 15:30:00	15500.0	A	12144500	11.75	A
2009-11-08 15:00:00	5010.0	A	12144500	7.53	A
2009-11-17 17:15:00	16500.0	A	12144500	12.03	A
2009-11-20 02:15:00	8440.0	A	12144500	9.24	A
2009-11-22 22:15:00	4510.0	A	12144500	7.23	A
2009-11-25 00:00:00	9120.0	A	12144500	9.52	A
2009-12-17 17:00:00	3310.0	A	12144500	6.41	A
2009-12-21 19:15:00	7780.0	A	12144500	8.95	A
2010-01-02 17:45:00	5160.0	A	12144500	7.62	A
2010-01-06 01:45:00	11000.0	A	12144500	10.24	A
2010-01-09 20:15:00	5510.0	A	12144500	7.81	A
2010-01-13 12:00:00	4950.0	A	12144500	7.49	A
2010-01-14 14:15:00	8010.0	A	12144500	9.05	A
2010-01-16 06:30:00	10100.0	A	12144500	9.92	A
2010-02-13 17:30:00	2120.0	A	12144500	5.39	A
2010-02-27 21:45:00	1950.0	A	12144500	5.22	A
2010-03-13 07:00:00	1950.0	A	12144500	5.22	A
2010-03-22 11:00:00	2840.0	A	12144500	6.04	A
2010-03-26 20:00:00	2640.0	A	12144500	5.87	A
2010-03-29 23:15:00	4960.0	A	12144500	7.5	A
2010-04-18 14:15:00	3710.0	A	12144500	6.7	A
2010-04-21 20:30:00	6160.0	A	12144500	8.16	A
2010-04-29 14:15:00	3750.0	A	12144500	6.73	A
2010-05-03 20:45:00	9300.0	A	12144500	9.6	A
2010-05-16 15:00:00	4960.0	A	12144500	7.5	A
2010-05-19 10:45:00	6380.0	A	12144500	8.28	A
2010-05-29 07:00:00	8780.0	A	12144500	9.38	A
2010-06-03 11:45:00	12100.0	A	12144500	10.66	A
2010-06-07 19:15:00	7310.0	A	12144500	8.73	A
2010-06-09 17:45:00	7370.0	A	12144500	8.76	A
2010-06-13 13:00:00	5750.0	A	12144500	7.95	A
2010-09-01 13:45:00	5460.0	A	12144500	7.79	A
2010-09-08 19:15:00	3080.0	A	12144500	6.23	A
2010-09-21 06:00:00	5930.0	A	12144500	8.04	A
2010-10-10 21:30:00	9660.0	A	12144500	9.74	A
2010-10-26 01:45:00	7050.0	A	12144500	8.61	A
2010-11-02 07:30:00	13500.0	A	12144500	11.11	A
2010-11-07 21:30:00	4920.0	A	12144500	7.47	A
2010-11-16 12:45:00	9780.0	A	12144500	9.79	A
2010-12-01 15:45:00	3390.0	A	12144500	6.46	A
2010-12-10 09:15:00	6050.0	A	12144500	8.11	A
2010-12-13 07:30:00	33600.0	A	12144500	16.19	A
2011-01-08 06:30:00	10600.0	A	12144500	10.12	A
2011-01-15 05:00:00	19300.0	A	12144500	12.8	A
2011-01-17 03:45:00	37900.0	A	12144500	17.08	A
2011-01-22 03:15:00	12100.0	A	12144500	10.66	A
2011-01-25 15:30:00	7660.0	A	12144500	8.89	A
2011-01-30 05:30:00	8620.0	A	12144500	9.32	A
2011-02-05 10:30:00	11200.0	A	12144500	10.32	A
2011-02-07 15:15:00	8890.0	A	12144500	9.43	A
2011-03-10 20:30:00	7050.0	A	12144500	8.61	A
2011-03-14 13:15:00	4020.0	A	12144500	6.91	A
2011-03-31 22:45:00	31800.0	A	12144500	15.8	A
2011-04-28 10:15:00	2970.0	A	12144500	6.14	A
2011-05-08 09:15:00	4680.0	A	12144500	7.33	A
2011-05-12 13:00:00	4770.0	A	12144500	7.39	A
2011-05-16 00:45:00	13900.0	A	12144500	11.23	A
2011-05-26 15:00:00	5370.0	A	12144500	7.74	A
2011-06-01 22:00:00	5000.0	A	12144500	7.52	A
2011-06-06 13:00:00	6950.0	A	12144500	8.56	A
2011-06-19 12:15:00	5340.0	A	12144500	7.72	A
2011-06-30 14:30:00	6310.0	A	12144500	8.24	A
2011-09-19 22:30:00	1170.0	A	12144500	4.29	A
2011-09-28 04:00:00	2580.0	A	12144500	5.81	A
2011-10-08 10:00:00	1650.0	A	12144500	4.9	A
2011-10-12 07:45:00	9890.0	A	12144500	9.75	A
2011-10-23 10:30:00	10900.0	A	12144500	10.15	A
2011-10-29 18:00:00	3630.0	A	12144500	6.61	A
2011-10-31 05:15:00	6350.0	A	12144500	8.2	A
2011-11-13 18:00:00	3450.0	A	12144500	6.48	A
2011-11-17 17:15:00	5200.0	A	12144500	7.59	A
2011-11-23 23:15:00	13100.0	A	12144500	10.91	A
2011-11-28 05:15:00	8890.0	A	12144500	9.35	A
2011-12-29 10:15:00	18700.0	A	12144500	12.55	A
2012-01-05 12:30:00	7330.0	A	12144500	8.67	A
2012-01-21 20:15:00	5200.0	A	12144500	7.59	A
2012-01-25 16:15:00	5830.0	A	12144500	7.93	A
2012-01-30 11:30:00	16000.0	A	12144500	11.78	A
2012-02-19 11:45:00	3290.0	A	12144500	6.36	A
2012-02-22 19:45:00	28800.0	A	12144500	14.9	A
2012-03-06 04:00:00	3620.0	A	12144500	6.6	A
2012-03-11 20:15:00	3790.0	A	12144500	6.72	A
2012-03-16 07:15:00	6490.0	A	12144500	8.27	A
2012-03-30 16:30:00	6760.0	A	12144500	8.4	A
2012-04-12 14:30:00	3380.0	A	12144500	6.43	A
2012-04-17 08:15:00	5120.0	A	12144500	7.54	A
2012-04-20 20:45:00	11400.0	A	12144500	10.31	A
2012-04-24 11:00:00	11000.0	A	12144500	10.16	A
2012-05-01 07:30:00	8810.0	A	12144500	9.32	A
2012-05-04 13:15:00	6110.0	A	12144500	8.08	A
2012-05-09 14:00:00	5380.0	A	12144500	7.69	A
2012-05-15 11:15:00	8320.0	A	12144500	9.11	A
2012-05-22 16:15:00	10200.0	A	12144500	9.88	A
2012-05-23 23:45:00	11400.0	A	12144500	10.33	A
2012-06-02 08:00:00	10200.0	A	12144500	9.86	A
2012-06-06 11:00:00	7030.0	A	12144500	8.53	A
2012-06-08 10:45:00	6780.0	A	12144500	8.41	A
2012-06-13 20:00:00	7570.0	A	12144500	8.78	A
2012-06-18 20:15:00	11200.0	A	12144500	10.24	A
2012-06-27 07:30:00	6150.0	A	12144500	8.1	A
2012-07-09 11:45:00	4960.0	A	12144500	7.45	A
2012-10-15 16:00:00	2770.0	A	12144500	5.96	A
2012-10-16 15:30:00	5030.0	A	12144500	7.49	A
2012-10-20 12:45:00	6410.0	A	12144500	8.23	A
2012-10-28 13:30:00	10100.0	A	12144500	9.82	A
2012-10-29 19:45:00	15000.0	A	12144500	11.49	A
2012-10-31 08:45:00	13000.0	A	12144500	10.85	A
2012-11-04 11:15:00	5170.0	A	12144500	7.57	A
2012-11-13 04:15:00	2770.0	A	12144500	5.96	A
2012-11-15 01:30:00	4080.0	A	12144500	6.91	A
2012-11-20 06:15:00	15700.0	A	12144500	11.71	A
2012-11-24 09:45:00	12300.0	A	12144500	10.65	A
2012-12-03 23:00:00	5940.0	A	12144500	8.09	A
2012-12-05 04:30:00	10900.0	A	12144500	10.19	A
2013-01-08 11:00:00	4840.0	A	12144500	7.5	A
2013-01-09 14:30:00	7390.0	A	12144500	8.79	A
2013-01-26 07:45:00	2190.0	A	12144500	5.62	A
2013-01-30 17:15:00	4190.0	A	12144500	7.11	A
2013-02-17 10:30:00	2650.0	A	12144500	6.02	A
2013-03-02 01:15:00	6880.0	A	12144500	8.55	A
2013-03-13 17:30:00	14500.0	A	12144500	11.35	A
2013-03-21 03:00:00	5050.0	A	12144500	7.62	A
2013-04-02 13:15:00	4130.0	A	12144500	7.07	A
2013-04-06 06:15:00	15100.0	A	12144500	11.53	A
2013-04-11 07:45:00	11100.0	A	12144500	10.24	A
2013-04-20 14:15:00	10900.0	A	12144500	10.18	A
2013-04-27 15:15:00	4490.0	A	12144500	7.3	A
2013-04-29 19:00:00	8430.0	A	12144500	9.23	A
2013-05-07 11:30:00	7660.0	A	12144500	8.9	A
2013-05-30 16:00:00	5940.0	A	12144500	8.09	A
2013-06-06 15:15:00	4860.0	A	12144500	7.51	A
2013-06-21 11:00:00	7790.0	A	12144500	8.88	A
2013-08-30 19:45:00	1460.0	A	12144500	4.69	A
2013-09-06 21:00:00	1750.0	A	12144500	5.01	A
2013-09-24 14:15:00	3300.0	A	12144500	6.37	A
2013-09-29 10:15:00	12400.0	A	12144500	10.65	A
2013-10-01 06:30:00	14700.0	A	12144500	11.41	A
2013-10-09 01:15:00	6310.0	A	12144500	8.18	A
2013-11-03 08:15:00	2270.0	A	12144500	5.53	A
2013-11-06 14:15:00	2760.0	A	12144500	5.95	A
2013-11-08 12:00:00	10300.0	A	12144500	9.92	A
2013-11-16 15:30:00	5050.0	A	12144500	7.5	A
2013-11-19 19:45:00	17700.0	A	12144500	12.27	A
2013-12-02 05:15:00	13000.0	A	12144500	10.97	A
2013-12-14 12:00:00	2050.0	A	12144500	5.54	A
2013-12-16 14:45:00	2640.0	A	12144500	6.07	A
2013-12-24 00:30:00	15500.0	A	12144500	11.72	A
2014-01-03 14:30:00	3620.0	A	12144500	6.82	A
2014-01-09 12:00:00	3630.0	A	12144500	6.83	A
2014-01-11 22:15:00	8430.0	A	12144500	9.31	A
2014-01-13 12:00:00	12500.0	A	12144500	10.81	A
2014-01-30 07:15:00	5310.0	A	12144500	7.84	A
2014-02-12 22:15:00	6210.0	A	12144500	8.31	A
2014-02-17 14:15:00	4860.0	A	12144500	7.59	A
2014-03-06 16:15:00	17000.0	A	12144500	12.17	A
2014-03-09 19:45:00	29100.0	A	12144500	14.96	A
2014-03-15 01:30:00	7480.0	A	12144500	8.79	A
2014-03-16 20:30:00	10100.0	A	12144500	9.86	A
2014-03-30 14:30:00	4080.0	A	12144500	6.97	A
2014-04-06 18:30:00	6210.0	A	12144500	8.18	A
2014-04-09 14:15:00	7260.0	A	12144500	8.69	A
2014-04-18 13:30:00	9160.0	A	12144500	9.5	A
2014-04-25 07:45:00	7520.0	A	12144500	8.81	A
2014-05-03 20:00:00	6110.0	A	12144500	8.13	A
2014-05-05 19:45:00	9280.0	A	12144500	9.55	A
2014-05-09 21:00:00	7930.0	A	12144500	8.98	A
2014-05-16 11:45:00	6880.0	A	12144500	8.51	A
2014-05-24 11:00:00	5360.0	A	12144500	7.73	A
2014-06-14 11:45:00	3660.0	A	12144500	6.69	A
2014-06-29 09:00:00	4910.0	A	12144500	7.48	A
2014-07-25 06:30:00	3400.0	A	12144500	6.5	A
2014-08-14 00:30:00	2000.0	A	12144500	5.33	A
2014-09-01 05:15:00	1040.0	A	12144500	4.17	A
2014-09-03 20:45:00	3000.0	A	12144500	6.2	A
2014-09-26 05:00:00	1480.0	A	12144500	4.77	A
2014-09-30 21:45:00	1750.0	A	12144500	5.07	A
2014-10-12 12:15:00	1120.0	A	12144500	4.3	A
2014-10-15 03:00:00	1440.0	A	12144500	4.72	A
2014-10-16 11:00:00	2250.0	A	12144500	5.57	A
2014-10-18 23:45:00	3810.0	A	12144500	6.79	A
2014-10-23 14:15:00	7610.0	A	12144500	8.85	A
2014-10-27 07:30:00	5620.0	A	12144500	7.87	A
2014-10-29 23:15:00	7460.0	A	12144500	8.78	A
2014-11-04 21:15:00	15600.0	A	12144500	11.68	A
2014-11-10 06:15:00	5980.0	A	12144500	8.06	A
2014-11-22 12:45:00	3650.0	A	12144500	6.67	A
2014-11-24 03:15:00	6170.0	A	12144500	8.14	A
2014-11-26 10:30:00	25500.0	A	12144500	14.2	A
2014-12-07 09:00:00	3620.0	A	12144500	6.6	A
2014-12-10 20:30:00	4990.0	A	12144500	7.47	A
2014-12-21 23:45:00	10800.0	A	12144500	10.1	A
2014-12-24 09:30:00	14300.0	A	12144500	11.29	A
2014-12-28 07:45:00	4820.0	A	12144500	7.37	A
2015-01-06 00:00:00	50100.0	A	12144500	18.62	A
2015-01-18 15:45:00	10400.0	A	12144500	9.93	A
2015-01-24 15:30:00	20400.0	A	12144500	12.98	A
2015-02-03 11:15:00	3530.0	A	12144500	6.54	A
2015-02-07 05:45:00	11300.0	A	12144500	10.29	A
2015-02-08 06:45:00	14000.0	A	12144500	11.17	A
2015-02-10 21:45:00	12500.0	A	12144500	10.71	A
2015-03-15 04:30:00	7330.0	A	12144500	8.67	A
2015-03-26 08:00:00	9660.0	A	12144500	9.66	A
2015-04-01 09:15:00	4130.0	A	12144500	6.94	A
2015-08-31 07:15:00	973.0	A	12144500	3.97	A
2015-09-02 19:45:00	1630.0	A	12144500	4.86	A
2015-09-21 19:00:00	1560.0	A	12144500	4.78	A
2015-10-08 16:00:00	985.0	A	12144500	3.99	A
2015-10-11 15:30:00	4620.0	A	12144500	7.25	A
2015-10-27 14:30:00	1740.0	A	12144500	4.98	A
2015-11-01 03:30:00	36000.0	A	12144500	16.3	A
2015-11-06 06:15:00	4300.0	A	12144500	7.05	A
2015-11-08 18:30:00	5400.0	A	12144500	7.7	A
2015-11-11 21:45:00	3750.0	A	12144500	6.69	A
2015-11-14 07:00:00	32200.0	A	12144500	15.59	A
2015-11-18 07:45:00	48000.0	A	12144500	18.31	A
2015-12-05 00:15:00	2730.0	A	12144500	5.88	A
2015-12-07 03:15:00	5770.0	A	12144500	7.9	A
2015-12-09 17:30:00	49500.0	A	12144500	18.53	A
2016-01-14 04:30:00	3000.0	A	12144500	6.11	A
2016-01-18 13:30:00	3300.0	A	12144500	6.36	A
2016-01-22 01:00:00	6040.0	A	12144500	8.04	A
2016-01-29 01:00:00	21800.0	A	12144500	13.34	A
2016-02-10 14:30:00	3990.0	A	12144500	6.85	A
2016-02-13 05:15:00	7790.0	A	12144500	8.88	A
2016-02-15 18:30:00	24800.0	A	12144500	14.03	A
2016-02-29 13:30:00	4240.0	A	12144500	7.01	A
2016-03-02 17:30:00	6470.0	A	12144500	8.26	A
2016-03-10 16:15:00	5130.0	A	12144500	7.55	A
2016-03-23 11:30:00	3380.0	A	12144500	6.42	A
2016-03-24 17:45:00	4940.0	A	12144500	7.44	A
2016-04-02 16:00:00	3930.0	A	12144500	6.81	A
2016-04-09 12:30:00	5260.0	A	12144500	7.62	A
2016-04-21 12:45:00	5440.0	A	12144500	7.72	A
2016-05-03 16:00:00	3370.0	A	12144500	6.41	A
2016-05-23 00:30:00	4470.0	A	12144500	7.16	A
2016-06-03 02:30:00	3880.0	A	12144500	6.78	A
2016-06-19 13:30:00	3170.0	A	12144500	6.25	A
2016-06-25 05:45:00	4560.0	A	12144500	7.21	A
2016-07-10 00:00:00	2020.0	A	12144500	5.19	A
2016-09-18 16:15:00	5010.0	A	12144500	7.48	A
2016-10-08 01:45:00	1900.0	A	12144500	5.17	A
2016-10-09 14:15:00	8930.0	A	12144500	9.37	A
2016-10-15 06:00:00	12000.0	A	12144500	10.51	A
2016-10-18 04:45:00	7590.0	A	12144500	8.79	A
2016-10-21 00:15:00	21900.0	A	12144500	13.37	A
2016-10-27 15:45:00	8180.0	A	12144500	9.05	A
2016-11-01 02:30:00	7260.0	A	12144500	8.64	A
2016-11-06 19:30:00	4770.0	A	12144500	7.34	A
