utc	stage	stage_qualifiers	location	discharge	discharge_qualifiers
2007-12-05 14:30:00	40.48	A	12150400		
2008-05-19 00:30:00	37.89	A	12150400		
2008-05-21 13:30:00	36.5	A	12150400		
2008-05-26 22:15:00	31.59	A	12150400		
2008-06-08 08:30:00	31.35	A	12150400		
2008-06-11 07:15:00	31.42	A	12150400		
2008-06-30 22:30:00	30.32	A	12150400		
2008-11-08 18:15:00	40.02	A	12150400		
2008-11-13 23:15:00	41.91	A	12150400		
2009-01-09 02:15:00	45.18	A	12150400		
2009-05-20 02:15:00	30.99	A	12150400		
2009-10-27 12:30:00	36.09	A	12150400		
2009-11-18 04:30:00	36.19	A	12150400		
2009-11-20 12:30:00	32.36	A	12150400		
2009-11-25 12:30:00	31.84	A	12150400		
2010-01-06 13:30:00	32.92	A	12150400		
2010-01-14 23:15:00	31.86	A	12150400		
2010-01-16 16:30:00	32.68	A	12150400		
2010-05-29 18:15:00	31.95	A	12150400		
2010-06-03 21:30:00	33.5	A	12150400		
2010-06-11 23:30:00	31.33	A	12150400		
2010-12-14 05:00:00	41.43	A	12150400		
2011-01-08 15:00:00	33.85	A	12150400		
2011-01-15 18:00:00	38.89	A	12150400		
2011-01-18 07:00:00	41.92	A	12150400		
2011-01-22 18:00:00	35.86	A	12150400		
2011-01-26 02:00:00	31.97	A	12150400		
2011-01-30 15:00:00	32.41	A	12150400		
2011-02-05 21:00:00	32.98	A	12150400		
2011-02-08 03:00:00	32.1	A	12150400		
2011-04-01 15:00:00	41.32	A	12150400		
2011-05-16 14:00:00	35.3	A	12150400		
2011-11-24 10:00:00	35.21	A	12150400		
2011-12-29 23:00:00	35.98	A	12150400		
2012-01-31 04:00:00	36.57	A	12150400		
2012-02-23 18:00:00	40.23	A	12150400		
2012-04-21 08:00:00	32.65	A	12150400		
2012-04-24 21:00:00	32.64	A	12150400		
2012-04-27 04:00:00	31.63	A	12150400		
2012-05-01 19:00:00	31.15	A	12150400		
2012-05-24 14:00:00	33.2	A	12150400		
2012-06-02 17:00:00	31.74	A	12150400		
2012-06-19 07:00:00	32.63	A	12150400		
2012-10-31 19:00:00	34.07	A	12150400		
2012-11-20 20:00:00	35.41	A	12150400		
2012-11-25 08:00:00	32.93	A	12150400		
