,gaugeId,name,shortName,flood,utc,stage,discharge,rank,yMin,yellowStage,riverMile,adjStage,minStage,maxStage,normStage,stageRangePrecent
0,USGS-9,Duvall,Duvall,2022 - March,2022-03-02 10:00:00,41.75,,200.0,15.0,,9,41.75,37.23,41.88,4.520000000000003,97.20430107526877
1,USGS-9,Duvall,Duvall,2022 - January 7th,2022-01-08 14:30:00,38.81,,200.0,15.0,,9,38.81,37.23,41.88,1.5800000000000054,33.97849462365599
2,USGS-9,Duvall,Duvall,2022 - January 21st,2022-01-21 19:30:00,37.92,,200.0,15.0,,9,37.92,37.23,41.88,0.6900000000000048,14.838709677419441
3,USGS-9,Duvall,Duvall,2022 - January 13th,2022-01-14 01:00:00,40.83,,200.0,15.0,,9,40.83,37.23,41.88,3.6000000000000014,77.41935483870961
4,USGS-9,Duvall,Duvall,2021 - October,2021-10-30 06:00:00,39.56,,200.0,15.0,,9,39.56,37.23,41.88,2.3300000000000054,50.10752688172048
5,USGS-9,Duvall,Duvall,2021 - November,2021-11-16 03:00:00,41.35,,200.0,15.0,,9,41.35,37.23,41.88,4.1200000000000045,88.6021505376344
6,USGS-9,Duvall,Duvall,2021 - January,2021-01-15 02:15:00,39.79,,200.0,15.0,,9,39.79,37.23,41.88,2.5600000000000023,55.053763440860195
7,USGS-9,Duvall,Duvall,2021 - February,2021-02-25 07:00:00,37.23,,200.0,15.0,,9,37.23,37.23,41.88,0.0,0.0
8,USGS-9,Duvall,Duvall,2020 - January,2020-01-10 08:00:00,40.3,,200.0,15.0,,9,40.3,37.23,41.88,3.0700000000000003,66.02150537634401
9,USGS-9,Duvall,Duvall,2020 - February 7th,2020-02-09 01:15:00,41.88,,200.0,15.0,,9,41.88,37.23,41.88,4.650000000000006,100.0
10,USGS-9,Duvall,Duvall,2020 - February 1st,2020-02-04 21:00:00,41.76,,200.0,15.0,,9,41.76,37.23,41.88,4.530000000000001,97.41935483870958
11,USGS-9,Duvall,Duvall,2019 - October,2019-10-24 13:45:00,40.65,,200.0,15.0,,9,40.65,37.23,41.88,3.4200000000000017,73.54838709677414
12,USGS-9,Duvall,Duvall,2019 - December,2019-12-22 07:30:00,40.97,,200.0,15.0,,9,40.97,37.23,41.88,3.740000000000002,80.43010752688167
13,SVPA-12,NE 138th St,NE 138th St,2022 - March,2022-03-02 08:15:06,47.24,,105.0,34.53,35.72,12,47.24,41.07,47.24,6.170000000000002,100.00000000000001
